slug,source_dir,md5,bytes,lines,pages,title_guess,ocr_flag,dup_of,local_text_path,text_exists,text_sha256,review_status
allen1979_international_competition_iron_steel,pdf,82933c72a9305983d273a5cc16320aca,87547,2275,29,"International Competition in Iron and Steel, 1850-1913",,,/home/jic823/capitalism/pdf/allen1979_international_competition_iron_steel.txt,True,3b70abe0a18d5998b1d0828cc586616726bc30e592e9bc776b9f1595b67f6a08,inventory_only
allen1983_collective_invention,pdf,c1d6659e83a946f422a9ae7be1723f6d,72115,1159,25,Journal of Economic Behavior and Organization 4 (1983) 1-24. North-Holland,,,/home/jic823/capitalism/pdf/allen1983_collective_invention.txt,True,c95b6b88ba11c0773acfc6de5293b05db182cdb47dfeea2a728d806adbad93be,inventory_only
allen1988_growth_labor_productivity_english_agriculture,pdf,600faa30d0a7c4ef84e91a72ec5e9383,77378,2966,31,The Growth of Labor Productivity in Early,,,/home/jic823/capitalism/pdf/allen1988_growth_labor_productivity_english_agriculture.txt,True,28dffae53e9d4653c078f75aeee719fc56f575bb4f9c58f63091afa817f434f4,inventory_only
allen1988b_on_the_road_again_arthur_young,pdf,51e644d2d127ed56253381350bc0b472,79654,1630,26,"On the Road Again with Arthur Young: English, Irish, and French Agriculture during",,,/home/jic823/capitalism/pdf/allen1988b_on_the_road_again_arthur_young.txt,True,0f2bfb84be51e94df91218d9b1a088fa9eb9ff291faa1804a6be305c2ebde05d,inventory_only
allen1999_tracking_the_agricultural_revolution,pdf,ec4d450d89a053ce6be09d3f0ed9dbcc,81451,1818,29,Tracking the Agricultural Revolution in England,,,/home/jic823/capitalism/pdf/allen1999_tracking_the_agricultural_revolution.txt,True,8817f7b6d2d6dcb6f84afc59d2b2483b9991c2add486e80d2b771b0a3dcd7101,inventory_only
allen2000_economic_structure_agricultural_productivity,pdf,1e85e4fcf5cfdc6cfd32ced810d45be7,60957,1875,27,"European Review of Economic History, 3, 1-25. Printed in the United Kingdom © 2000 Cambridge University Press",,,/home/jic823/capitalism/pdf/allen2000_economic_structure_agricultural_productivity.txt,True,3c4434dbf9a494425b9dd2042d0973cdbac234e61baf8c9fc6c3a1d903ec2c70,inventory_only
allen2001_great_divergence_european_wages_prices,pdf,b7bd0fe18cbcfe25b36a7d52429fa5dc,96655,2622,38,"Explorations in Economic History 38, 411– 447 (2001)",,,/home/jic823/capitalism/pdf/allen2001_great_divergence_european_wages_prices.txt,True,955f0cde7232227ee4ccd4adf750105383b4c30909c48eac1e11bb39109c7927,inventory_only
allen2005_real_wages_europe_asia_long_term,pdf,cecbe73cfdf974c9ae5094c2f7f90f2a,44447,1394,30,Real Wages in Europe and Asia: A First Look at the Longterm Patterns,,,/home/jic823/capitalism/pdf/allen2005_real_wages_europe_asia_long_term.txt,True,df8e7a38095119f52d747754575998b27b0b210b5525c02227c278524b50883f,inventory_only
allen2008_nitrogen_hypothesis_english_ag_revolution,pdf,fd6c58da67b8ade6a51f32e050e1e100,83324,1560,31,The Nitrogen Hypothesis and the English Agricultural Revolution: A Biological Analysis,,,/home/jic823/capitalism/pdf/allen2008_nitrogen_hypothesis_english_ag_revolution.txt,True,8e11e51b3b385179f043044874f84ddb47300cb636fb21d394825a48d1ea8523,inventory_only
allen2008b_review_clark_farewell_to_alms,pdf,03db755eba145e3f99265af17155f529,109899,3440,30,"Review: A Review of Gregory Clark's ""A Farewell to Alms: A Brief Economic History of",,,/home/jic823/capitalism/pdf/allen2008b_review_clark_farewell_to_alms.txt,True,636498a825bdc6d5042502c2dcb9ee7af644af438b02881d25edc427d96cbdbf,inventory_only
