source_id,citation,kind,declared_resource,resource_state,resource_sha256,inherited_work_id,existing_person_name_leads,review_status,warning
beckert2025,"Sven Beckert, Capitalism: A Global History (2025)",book,,not_declared,,,[],unverified_metadata_and_name_leads,Declared proxy/excerpt/preprint and corpus processing status do not prove full-text verification.
robinson1983,"Cedric J. Robinson, Black Marxism: The Making of the Black Radical Tradition (1983; UNC Press 2nd ed. 2000)",book,/home/jic823/capitalism/pdf/robinson_black_marxism.pdf,file,69eda77b1fcbd4331bc8d60ddada4c1d3a3e825e684f3bad949b976530d8c0d5,robinson-black-marxism-making-black,[],unverified_metadata_and_name_leads,Declared proxy/excerpt/preprint and corpus processing status do not prove full-text verification.
gonzalez2022,"Carmen Gonzalez and Athena Mutua, 'Mapping Racial Capitalism: Implications for Law', Journal of Law and Political Economy 2.2 (2022)",article,/home/jic823/capitalism/pdf/mutua_2022_jlpe.pdf,file,56c032e69cc03ae0d530ed9544177356c5fb5cb577ea985309e5531f73fedd01,,[],unverified_metadata_and_name_leads,Declared proxy/excerpt/preprint and corpus processing status do not prove full-text verification.
marx1867,"Karl Marx, Capital: A Critique of Political Economy, Vol. I (1867; Marxists Internet Archive edition)",book,/home/jic823/capitalism/pdf/marx_capital_v1.pdf,file,279c2d870a1b76c8944748b77052e3e492def7ca17f8aad60385b211b5bdc6d5,marx-capital-critique-political-economy,"[""karl_marx""]",unverified_metadata_and_name_leads,Declared proxy/excerpt/preprint and corpus processing status do not prove full-text verification.
james1938,"C. L. R. James, The Black Jacobins: Toussaint L'Ouverture and the San Domingo Revolution (1938; Vintage 1963 edition)",book,/home/jic823/capitalism/pdf/james_black_jacobins.pdf,file,93a11a4a86d93abe140ef7d865a0c6818f692c1b894f3af6af4be225d9056bc7,,"[""clr_james""]",unverified_metadata_and_name_leads,Declared proxy/excerpt/preprint and corpus processing status do not prove full-text verification.
wallerstein1974,"Immanuel Wallerstein, The Modern World-System I: Capitalist Agriculture and the Origins of the European World-Economy in the Sixteenth Century (Academic Press, 1974)",book,/home/jic823/capitalism/pdf/wallerstein_mws1.pdf,file,bb4f4d52099505739664dd0bec3988d4444c82d1e2686405483e2b8d80246f5c,wallerstein-modern-world-system,"[""immanuel_wallerstein""]",unverified_metadata_and_name_leads,Declared proxy/excerpt/preprint and corpus processing status do not prove full-text verification.
wood2002,"Ellen Meiksins Wood, The Origin of Capitalism: A Longer View (Verso, 2002)",book,/home/jic823/capitalism/pdf/wood-origin-of-capitalism.pdf,file,a243ab02d2c5f7fdb00cfc4f99f91e32d7b4f3848e15bce792d2fd8641f155ff,wood-origins-capitalism-longer-view,[],unverified_metadata_and_name_leads,Declared proxy/excerpt/preprint and corpus processing status do not prove full-text verification.
thompson1963,"E. P. Thompson, The Making of the English Working Class (Gollancz, 1963)",book,/home/jic823/capitalism/pdf/thompson-making-english-working-class.pdf,file,426215b5d344ddf17920ee44db1877c7011ac81125c6e1dff962009403371163,thompson-making-english-working-class,"[""ep_thompson""]",unverified_metadata_and_name_leads,Declared proxy/excerpt/preprint and corpus processing status do not prove full-text verification.
thompson1991,"E. P. Thompson, Customs in Common (Merlin, 1991) [part 1 scan]",book,/home/jic823/capitalism/pdf/thompson-customs-in-common-part1.pdf,file,0c94417b8c1da349d8005dd0639094d52fbe23f4cdaf5f509b16fadebf9f915a,thompson-customs-common,"[""ep_thompson""]",unverified_metadata_and_name_leads,Declared proxy/excerpt/preprint and corpus processing status do not prove full-text verification.
polanyi1944,"Karl Polanyi, The Great Transformation (Farrar & Rinehart, 1944)",book,/home/jic823/capitalism/pdf/polanyi-great-transformation.pdf,file,f6c9386c550bbccd91f896739f351f6f7922925a104cb23826867fbd0d4ed8e9,polanyi-great-transformation-political-economic,"[""karl_polanyi""]",unverified_metadata_and_name_leads,Declared proxy/excerpt/preprint and corpus processing status do not prove full-text verification.
williams1944,"Eric Williams, Capitalism and Slavery (UNC Press, 1944)",book,/home/jic823/capitalism/pdf/williams-capitalism-and-slavery.pdf,file,a51dc9917a6207b3d78ce68a029e4fafdced4cc28514d817b9f98df70b973f19,williams-capitalism-slavery,"[""eric_williams""]",unverified_metadata_and_name_leads,Declared proxy/excerpt/preprint and corpus processing status do not prove full-text verification.
gibsongraham1996,"J. K. Gibson-Graham, The End of Capitalism (As We Knew It) (Blackwell, 1996)",book,/home/jic823/capitalism/pdf/gibson-graham-end-of-capitalism.pdf,file,16d284fa7e5c3554640a31cdf3998bd151e1ed7e72a446287f7807c999397af3,,[],unverified_metadata_and_name_leads,Declared proxy/excerpt/preprint and corpus processing status do not prove full-text verification.
berghudson2023,"Maxine Berg and Pat Hudson, Slavery, Capitalism and the Industrial Revolution (Polity, 2023)",book,/home/jic823/capitalism/pdf/berg-hudson-slavery-capitalism-industrial-revolution.pdf,file,10528920840bb22fc5c44d9ec7e901d4606c073b866f386f0ddac11c66dd3da4,hudson-slavery-capitalism-industrial-revolution,"[""maxine_berg""]",unverified_metadata_and_name_leads,Declared proxy/excerpt/preprint and corpus processing status do not prove full-text verification.
wrigley2010,"E. A. Wrigley, Energy and the English Industrial Revolution (CUP, 2010)",book,/home/jic823/capitalism/pdf/wrigley-energy-english-industrial-revolution.pdf,file,ef9c3116887aacda7ddd8f7ec47d11f9ec3434a81dd0e28c80c6221d311aa694,wrigley-energy-english-industrial-revolution,"[""e_a_wrigley""]",unverified_metadata_and_name_leads,Declared proxy/excerpt/preprint and corpus processing status do not prove full-text verification.
wrigley1962,"E. A. Wrigley, 'The Supply of Raw Materials in the Industrial Revolution', EcHR (1962)",article,/home/jic823/capitalism/pdf/wrigley-supply-raw-materials-1962.pdf,file,86201fc51bf31d35eab275dd0972965cab09d13d887293ad7e235089e1921078,wrigley-supply-raw-materials-industrial,"[""e_a_wrigley""]",unverified_metadata_and_name_leads,Declared proxy/excerpt/preprint and corpus processing status do not prove full-text verification.
wrigley2003,"E. A. Wrigley, 'The Quest for the Industrial Revolution', PBA 121 (2003)",article,/home/jic823/capitalism/pdf/wrigley-pba121-quest-industrial-revolution.pdf,file,468ff6af4cf80d0edc01135582f8bad0fe70ccd3f4386d3f67f7ae3bb4c7d27b,wrigley-quest-industrial-revolution,"[""e_a_wrigley""]",unverified_metadata_and_name_leads,Declared proxy/excerpt/preprint and corpus processing status do not prove full-text verification.
