person_id,label,has_node,rep_n,strand_n,entries
adam_smith,Adam Smith,False,1,1,economictheory
alessandro_portelli,Alessandro Portelli,False,1,1,oral
alf_ludtke,Alf Lüdtke,False,2,2,bielefeld;micro
alfred_crosby,Alfred Crosby,False,2,1,environment;global
alfred_marshall,Alfred Marshall,False,1,1,economictheory
alice_clark,Alice Clark,True,4,3,economic;gender;labourhistory;women
andre_gunder_frank,André Gunder Frank,False,1,1,dependency
anna_clark,Anna Clark,False,3,3,gender;labourhistory;marx
anthony_d_smith,Anthony D. Smith,False,1,1,nationalismstudies
gramsci,Antonio Gramsci,True,1,2,culturalstudies;karl
arjun_appadurai,Arjun Appadurai,False,1,1,consumption
arnold_toynbee_economic_historian,Arnold Toynbee (economic historian),False,1,1,historicalecon
barbara_taylor,Barbara Taylor,False,2,3,gender;marx;women
barbara_tuchman,Barbara W. Tuchman,True,5,4,biography;military;political;ranke;revival
barrington_moore,Barrington Moore,False,1,1,historicalsociology
barry_barnes,Barry Barnes,False,1,1,ssk
benedetto_croce,Benedetto Croce,False,3,3,historicism;philhistory;ranke
benedict_anderson,Benedict Anderson,False,1,1,nationalismstudies
bernard_bailyn,Bernard Bailyn,False,2,2,atlantic;political
latour,Bruno Latour,True,1,2,ssk;sts
clr_james,C. L. R. James,True,7,6,anticolonial;atlantic;culture;karl;marx;nationaltradition;social
cv_wedgwood,C. V. Wedgwood,True,5,4,biography;military;oldculture;political;revival
carl_g_hempel,Carl G. Hempel,False,1,1,philhistory
carl_l_becker,Carl L. Becker,False,1,1,philhistory
carl_von_clausewitz,Carl von Clausewitz,False,2,1,military;wartradition
carlo_ginzburg,Carlo Ginzburg,False,3,3,micro;revival;truthdebate
carolyn_merchant,Carolyn Merchant,False,2,2,environment;science
carter_g_woodson,Carter G. Woodson,False,1,1,black
catherine_hall,Catherine Hall,False,2,2,gender;social
charles_a_beard,Charles A. Beard,False,1,1,progressive
charles_tilly,Charles Tilly,False,5,5,global;historicalsociology;military;political;social
christopher_browning,Christopher Browning,False,1,1,holocaust
christopher_hill,Christopher Hill,True,2,3,biography;marx;political
levistrauss,Claude Lévi-Strauss,True,2,2,anthropology;culturalstudies
geertz,Clifford Geertz,True,2,2,anthropology;culture
daniel_jonah_goldhagen,Daniel Jonah Goldhagen,False,1,1,holocaust
david_blackbourn,David Blackbourn,False,1,1,bielefeld
david_bloor,David Bloor,False,1,1,ssk
david_ricardo,David Ricardo,False,1,1,economictheory
dipesh_chakrabarty,Dipesh Chakrabarty,False,4,5,gender;labourhistory;post;social;subaltern
donald_worster,Donald Worster,False,1,2,environment;geography
dorothy_thompson,Dorothy Thompson,True,6,5,biography;labourhistory;marx;political;social;women
douglass_north,Douglass North,False,2,2,economic;quant
e_a_wrigley,E. A. Wrigley,False,3,3,demography;quant;social
e_h_carr,E. H. Carr,False,2,1,philhistory;truthdebate
ep_thompson,E. P. Thompson,True,10,10,biography;culturalstudies;culture;economic;gender;karl;labourhistory;marx;political;social;technology
edward_burnett_tylor,Edward Burnett Tylor,False,1,1,anthropology
edward_said,Edward Said,False,1,1,post
eileen_power,Eileen Power,True,4,3,biography;economic;social;women
eleanor_flexner,Eleanor Flexner,True,2,2,political;women
emmanuel_le_roy_ladurie,Emmanuel Le Roy Ladurie,False,1,1,annales
eric_hobsbawm,Eric Hobsbawm,True,6,5,labourhistory;marx;nationalismstudies;revival;social;truthdebate
eric_williams,Eric Williams,True,4,4,anticolonial;atlantic;economic;nationaltradition
eric_wolf,Eric Wolf,False,2,2,anthropology;global
erik_h_erikson,Erik H. Erikson,False,3,3,biography;freud;psychohistory
ernest_gellner,Ernest Gellner,False,1,1,nationalismstudies
eugene_genovese,Eugene Genovese,False,1,1,newleft
ferdinand_de_saussure,Ferdinand de Saussure,False,1,1,saussure
fernand_braudel,Fernand Braudel,True,2,2,annales;economic
frances_yates,Frances A. Yates,True,3,2,memory;oldculture;science
fanon,Frantz Fanon,True,2,1,anticolonial;nationalismstudies
franz_boas,Franz Boas,False,1,1,anthropology
frederick_jackson_turner,Frederick Jackson Turner,False,1,1,progressive
friedrich_meinecke,Friedrich Meinecke,False,2,2,historicism;nationaltradition
nietzsche,Friedrich Nietzsche,True,4,4,conceptual;language;oldculture;philhistory
fritz_fischer,Fritz Fischer,False,1,1,bielefeld
g_r_elton,G. R. Elton,False,2,1,philhistory;truthdebate
gareth_stedman_jones,Gareth Stedman Jones,False,3,3,historyworkshop;language;marx
gaston_bachelard,Gaston Bachelard,False,1,2,epistemology;karl
gayatri_chakravorty_spivak,Gayatri Chakravorty Spivak,False,2,2,post;subaltern
geoff_eley,Geoff Eley,False,2,2,bielefeld;frankfurt
george_bancroft,George Bancroft,False,1,1,nationaltradition
george_chauncey,George Chauncey,False,1,1,queer
