id,title,aliases,publication_role,identity_status,publication_start,publication_end,publication_status,checked_subject_classifications,provisional_subject_classifications,source_ids,issns,languages,date_basis,date_start_kind,bibliographic_record_count,library_subject_heading_count
journal_1d3e57485ef758f2,20 & 21. Revue d'histoire,20 et 21-Revue d'Histoire,periodical_candidate,bibliographic_metadata_checked,,,unknown,Modern and contemporary,,journal_source_ooir | journal_source_library_b2ce5d7d715d867c,2649-664X,fre,,,1,7
journal_f3b93d29814cb6c3,a/b: Auto/Biography Studies,a/b: Auto/Biography Studies,periodical_candidate,title_matched_candidate,,,unknown,,Biography and life writing,journal_source_sheet_1389,,,,,0,0
journal_dfcb3573c7c0f19f,Ab Imperio,Ab Imperio - Studies of New Imperial History and Nationalism in the Post-Soviet Space | Ab Imperio,periodical_candidate,bibliographic_metadata_checked,2000,,unknown,Russia and Eurasia,Colonialism and empire | Politics and public policy,journal_source_sheet_271 | journal_source_sheet_1389 | journal_source_library_a06ad5cd86697a21 | journal_source_library_c6bb521fc8e2d2fc,2166-4072,eng | rus,bibliographic_record,catalogued_title_start,2,16
journal_ff89e341923af2a2,Aboriginal History,Aboriginal History,periodical_candidate,title_matched_candidate,,,unknown,Australasia and Oceania,,journal_source_wikipedia,,,,,0,0
journal_60f292179e503c1f,Abriu,Abriu,periodical_candidate,bibliographic_metadata_checked,2012,,unknown,Latin America and Caribbean | Iberia | Literature,,journal_source_sheet_1389 | journal_source_library_12baa1fcf86447a6,2014-8534,eng | glg | por | spa,bibliographic_record,catalogued_title_start,1,14
journal_91f1c756cb33896f,Acadiensis,Acadiensis,periodical_candidate,bibliographic_metadata_checked,1971,,unknown,Canada,,journal_source_wikipedia | journal_source_sheet_271 | journal_source_sheet_1389 | journal_source_library_deafef19c2245b2c | journal_source_library_2611d8b73c13ca1a,0044-5851,eng | fre,bibliographic_record,catalogued_title_start,2,5
journal_1b7d985df897c9a3,Accounting History,Accounting History,periodical_candidate,title_matched_candidate,,,unknown,,"Business, labor and economics",journal_source_sheet_1389,,,,,0,0
journal_d63c3d93c03ef931,Accounting History Review,Accounting History Review,periodical_candidate,bibliographic_metadata_checked,,,unknown,"Business, labor and economics",,journal_source_sheet_1389 | journal_source_library_c802a2e680442652 | journal_source_library_20dfd713fb15da68 | journal_source_library_df39d11f6cdf852d,2155-2851 | 2155-286X,eng,,,3,6
journal_7b7546e057193394,Acta Academiae Artium Vilnensis,Acta Academiae Artium Vilnensis,periodical_candidate,bibliographic_metadata_checked,1993,,unknown,Art,,journal_source_sheet_1389 | journal_source_library_28458db9df69989a,1392-0316,lit,bibliographic_record,catalogued_title_start,1,3
journal_9643af836a3cff70,Acta Antiqua Academiae Scientiarum Hungaricae,Acta Antiqua Academiae Scientiarum Hungaricae,periodical_candidate,bibliographic_metadata_checked,1951,,unknown,Classical studies | Archaeology,Ancient,journal_source_sheet_1389 | journal_source_library_d53985e06f735439,0044-5975,eng,bibliographic_record,catalogued_title_start,1,11
journal_4b6db92d6f35258a,Acta Archaeologica Lodziensia,Acta Archaeologica Lodziensia,periodical_candidate,title_matched_candidate,,,unknown,,Archaeology,journal_source_sheet_1389,,,,,0,0
journal_7e3614bef0a9d197,Acta Asiatica Varsoviensia,Acta Asiatica Varsoviensia,periodical_candidate,bibliographic_metadata_checked,1988,,unknown,Asia,,journal_source_sheet_1389 | journal_source_library_c223e680a143ca50,0860-6102,eng | ger | pol,bibliographic_record,catalogued_title_start,1,5
journal_d374e610cfd52bac,Acta Baltica Historiae et Philosophiae Scientiarum,Acta Baltica Historiae et Philosophiae Scientiarum,periodical_candidate,bibliographic_metadata_checked,2013,,unknown,General history | Philosophy | Science and technology,Baltic,journal_source_sheet_1389 | journal_source_library_3dd9cff2a9b22650 | journal_source_library_baa919980bb7c036,2228-2009 | 2228-2017,eng,bibliographic_record,catalogued_title_start,2,8
journal_69cd6d42b6bae5ff,Acta Borealia,Acta Borealia,periodical_candidate,bibliographic_metadata_checked,,,unknown,Nordic Europe,,journal_source_sheet_1389 | journal_source_library_2d6f1448c232cc18 | journal_source_library_8c6057e623cc2beb,0800-3831 | 1503-111X,eng,,,2,26
journal_0c9ce4e18f54002f,Acta Comeniana,Acta Comeniana,periodical_candidate,title_matched_candidate,,,unknown,,,journal_source_sheet_1389,,,,,0,0
journal_d73bba16eb647404,Acta Historiae Artis Slovenica,Acta Historiae Artis Slovenica,periodical_candidate,bibliographic_metadata_checked,1996,,unknown,Art history | Art,Eastern Europe and Balkans,journal_source_sheet_1389 | journal_source_library_9b5b146c1a7bd581,1408-0419,slv,bibliographic_record,catalogued_title_start,1,9
journal_301d620d70ac04c6,Acta Historica Tallinnensia,Acta Historica Tallinnensia,periodical_candidate,bibliographic_metadata_checked,1997,,unknown,,,journal_source_sheet_271 | journal_source_sheet_1389 | journal_source_library_b7efe7129d79f4c8,1406-2925,est,bibliographic_record,catalogued_title_start,1,1
journal_f2c2e6a2d4fad8ee,Acta Orientalia,Acta Orientalia,periodical_candidate,title_matched_candidate,,,unknown,,,journal_source_sheet_1389,,,,,0,0
journal_acc2bcdaaaf2daf2,Acta Orientalia Academiae Scientiarum Hungaricae,Acta Orientalia Academiae Scientiarum Hungaricae,periodical_candidate,title_matched_candidate,,,unknown,Asia | Language and linguistics | Literature,,journal_source_sheet_271 | journal_source_ooir,,,,,0,0
journal_90cf8ded2289c4e2,Acta Poloniae Historica,Acta Poloniae Historica,periodical_candidate,bibliographic_metadata_checked,1958,,unknown,Poland,Eastern Europe and Balkans,journal_source_sheet_271 | journal_source_sheet_1389 | journal_source_library_b14c5c6873ea5b4d,0001-6829,eng,bibliographic_record,catalogued_title_start,1,7
journal_0b37448b57fc3015,Actual Problems of Theory and History of Art,Actual Problems of Theory and History of Art,periodical_candidate,title_matched_candidate,,,unknown,,Art history,journal_source_sheet_1389,,,,,0,0
journal_0bc86b3b70daac6a,Ad Limina,Ad Limina,periodical_candidate,bibliographic_metadata_checked,2010,,unknown,Humanities,,journal_source_sheet_1389 | journal_source_library_ea372c98883c0a16,2659-5885,eng | fre | ger | glg | ita | por | spa,bibliographic_record,catalogued_title_start,1,7
journal_8b7b28851d49744e,Adalya,Adalya,periodical_candidate,bibliographic_metadata_checked,1996,,unknown,,,journal_source_sheet_1389 | journal_source_library_274c35fbb78ba0c0,1301-2746,tur,bibliographic_record,catalogued_title_start,1,10
journal_6a14b6e4efa7f70c,Aegyptus,Aegyptus,periodical_candidate,title_matched_candidate,,,unknown,,Egypt,journal_source_sheet_1389,,,,,0,0
journal_098c5601d80ef233,Aethiopica,Aethiopica,periodical_candidate,bibliographic_metadata_checked,1998,,unknown,Africa | Horn of Africa | Language and linguistics | Archaeology | Anthropology and ethnography | Religion | Philosophy | Literature | Manuscript studies,,journal_source_sheet_1389 | journal_source_library_739bb684fbae335f,2194-4024,eng | fre | ger | ita,bibliographic_record,catalogued_title_start,1,9
journal_d6082a6c337b8b23,Aevum - Rassegna di Scienze Storiche Linguistiche e Filologiche,Aevum - Rassegna di Scienze Storiche Linguistiche e Filologiche,periodical_candidate,title_matched_candidate,,,unknown,,Language and linguistics,journal_source_sheet_1389,,,,,0,0
journal_f04ad4d28e19a211,Afghanistan,Afghanistan,periodical_candidate,title_matched_candidate,,,unknown,Central Asia | South Asia | Middle East,,journal_source_sheet_1389,,,,,0,0
