qid,label,discovery_cohorts,idref,gnd,bnf,viaf,lc,control,inherited_atlas_person_ids
Q100371038,Manuela Martini,gender_history,071217126,1126121363,144170129,226653,n00098996,False,
Q100707657,Sonya Ramsey,gender_adjacent,143197738,,,167870342,no2001042339,False,
Q100785684,Anne Anlin Cheng,gender_adjacent,156323125,133452239,13745868n,19858995,n00035730,False,
Q100912067,Susan A. Glenn,gender_history,056921314,17251777X,129415024,112659715,n86813083,False,
Q100914523,James Gregory,labour_history,132518252,,15080548w,47054813,n86812147,False,
Q100950955,Liora Halperin,gender_history,190036338,1065093985,17011541j,308231557,n2014024227,False,
Q100951466,Bruce Hevly,labour_history,034081089,,12487344x,59186957,n88682273,False,
Q100953443,Moon-Ho Jung,labour_history,125935439,135857155,,46168809,n2005038033,False,
Q100999277,Montserrat Huguet Santos,gender_adjacent,,,,58292055,,False,
Q101638,Mary Wollstonecraft,gender_adjacent,027688674,118639285,119293724,51697482,n78095613,False,
Q102220091,Jane Sherron De Hart,gender_adjacent,03144119X,,12265534x,282572771,n81063177,False,
Q102555073,Susan E. James,gender_history,133469034,173320716,13626272w,237722299,n98079960,False,
Q102626140,Jennie McMullin Turner,labour_history,,,,17135229,nr98013659,False,
Q103019646,Paul R. Josephson,environmental_history,033514275,170634698,12437380r,2564330,n89625511,False,
Q10314195,Kenneth M. Towe,environmental_history,,,,284363783,no2018045579,False,
Q10361287,Richard Guy Parker,gender_adjacent,112079806,17230167X,13593258w,112931651,n90651378,False,
Q104121231,Alfred Galik,environmental_history,074009583,1148442820,,60030282,,False,
Q104189363,Stephen Bell,environmental_history,081331010,141625570,,70704146,n98041821,False,
Q104499803,José Augusto Pádua,environmental_history,,,,,,False,
Q104518473,Lajos Rácz,environmental_history,,138991650,,14124454,n2001155829,False,
Q104739639,Linda Nash,environmental_history,128645784,132987406,158635953,20015405,no2001041785,False,
Q104765715,Marysa Navarro,gender_history; gender_adjacent,033113017,1056707291,124012378,7474937,n79135917,False,
Q104772868,Mo Moulton,gender_adjacent,181629046,105129990X,,305360904,n2013062932,False,
Q104904976,Maya De Leo,gender_history,,1202639607,,12162606608649532426,,False,
Q104909080,Char Miller,environmental_history,081786549,133848493,,75053526,,False,
Q104981208,John Soluri,environmental_history,104617160,173819222,,8145910976127061095,,False,
Q104981281,Claudia Leal,environmental_history,116102365,105673244X,,186917073,,False,
Q104986234,Sabine Höhler,environmental_history,179464132,122902793,150444195,64290822,nb2003016503,False,
Q105079735,Nathan E. Roberts,environmental_history,,,,,,False,
Q105089666,Teresa Cribelli,environmental_history,19406784X,1191214079,,181146822104807380561,no2015000512,False,
Q105089726,Ulrika Holgersson,labour_history; gender_history,,139859497,170911862,24361010,no2006099156,False,
Q105176801,Ellen Griffith Spears,environmental_history,189007192,1193148766,,297144783008266463276,n99043605,False,
Q105309884,S. Leonard Bell,labour_history,,,,13161573524104521813,no2021025691,False,
Q105309926,Tom Copeland,labour_history,,,,48217060,n85274710,False,
Q105330423,David Keller,labour_history,,,,113160667970503560009,no97045594,False,
Q105330716,Ronald Magden,labour_history,,1277559082,,11230246,n83201706,False,
Q105380414,Ottilie Markholt,labour_history,,,,73187925,n99049502,False,
Q105407417,Martha Noel Evans,gender_adjacent,029374987,172065852,121015305,110028707,n86032005,False,
Q105414747,Ross K. Rieder,labour_history,,,,,,False,
Q105425841,Mark McLelland,gender_adjacent,070415439,130553050,15017559s,33108243,no2001015747,False,
Q105730249,Nigel Todd,labour_history,,,,16296010,n87890577,False,
Q105749880,Pernille Ipsen,gender_adjacent,,1069190144,,311470927,,False,
Q105759855,Roneva Keel,labour_history,,,,,,False,
Q105760524,Michael D. Aguirre,labour_history,,,,,,False,
Q106045208,Joana Gaspar de Freitas,environmental_history,090159187,1053060653,,46721899,nr2006002806,False,
Q106510608,Shirley J. Yee,gender_adjacent,031739555,,122898820,112769755,n91060966,False,
Q106576750,Andrea S. Goldman,gender_adjacent,166439479,1025246543,166387088,188315263,no2011177503,False,
Q106647718,George Bryan Souza,environmental_history,131468529,129325341,12723909c,52764898,n85152776,False,
Q106972975,Holger Droessler,labour_history,260251658,1251566391,,24162236603713540854,no2021063323,False,
Q106983464,Šárka Caitlín Rábová,gender_adjacent,,1159596158,,27152561536415440271,,False,
