uri,date_status,window_years,dates,citation,candidate_people,contributions,subject_labels
http://www.sudoc.fr/242543472/id,catalogued_year_in_window,2020,2020,"Atlas de l'Égypte contemporaine  / sous la direction de Hala Bayoumi et Karine Bennafla  ; cartes réalisées par Claire Gillette  ; Nadine Abdalla, Sherif Abdelghany, Véronique Alary [et al.] / Paris : CNRS éditions , DL 2020",Annalaura Turiano,http://www.idref.fr/198374852/id aut,Atlas; Cartes; Égypte -- 19e siècle; Égypte -- 20e siècle; Égypte -- 2011-....
http://www.sudoc.fr/243277059/id,catalogued_year_in_window,2020,2020,"Ballet Class  : An American History  / Melissa R. Klapper / New York : Oxford University Press , 2020",Melissa Klapper,http://www.idref.fr/125338309/id aut,
http://www.sudoc.fr/243308825/id,catalogued_year_in_window,2020,2020,"Female Husbands  : a trans history  / Jen Manion,... / Cambridge : Cambridge University Press , 2020",Jen Manion,http://www.idref.fr/09228079X/id aut,Époux; Transidentité
http://www.sudoc.fr/243310161/id,catalogued_year_in_window,2020,2020,"Dialect and Nationalism in China, 1860-1960  / Gina Anne Tam / Cambridge : Cambridge University Press , 2020",Gina Anne Tam,http://www.idref.fr/249596415/id aut,Chine -- 1949-1976 (Chine maoïste); Chine -- 1912-1949 (République); Chine -- 1644-1912 (Dynastie mandchoue); Langues chinoises; Langage et culture
http://www.sudoc.fr/24504762X/id,catalogued_year_in_window,2020,2020,"The Unquiet River  : A Biography of the Brahmaputra  / Arupjyoti Saikia / Oxford : Oxford University Press , 2020",Arupjyoti Saikia,http://www.idref.fr/170714969/id aut,
http://www.sudoc.fr/248493957/id,catalogued_year_in_window,2020,2020,"Les Amazones  : quand les femmes étaient les égales des hommes, VIIIe siècle av. J.-C.-Ier siècle apr. J.-C.  / Adrienne Mayor  ; traduit de l'anglais (États-Unis) par Philippe Pignarre  ; préface de Violaine Sebillotte Cuchet / Paris : La Découverte poche , DL 2020",Violaine Sebillotte-Cuchet,http://www.idref.fr/108540952/id aui,Femmes -- Dans l'art; Amazones; Femmes; Guerriers; Guerrières
http://www.sudoc.fr/248840800/id,catalogued_year_in_window,2020,2020,"Ballet Class  : An American History  / Melissa R. Klapper / Oxford : Oxford University Press , 2020",Melissa Klapper,http://www.idref.fr/125338309/id aut,
http://www.sudoc.fr/250493292/id,catalogued_year_in_window,2020,2020,"Leur écologie et la nôtre  : anthologie d'écologie politique  / André Gorz  ; textes introduits et présentés par Françoise Gollain et Willy Gianinazzi / Paris : Éditions du Seuil , DL 2020",Willy Gianinazzi,http://www.idref.fr/030400201/id pbd,Capitalisme; Écologie politique
http://www.sudoc.fr/250799952/id,catalogued_year_in_window,2020,2020,"Le travail en Europe occidentale  : 1830-1939  / Marion Fontaine, François Jarrige, Nicolas Patin... [et al.] / Neuilly : Atlande , DL 2020",Marion Fontaine,http://www.idref.fr/148532616/id aut,Questions d'examens; Conditions de travail; Révolution industrielle; Travail; Manuels d'enseignement supérieur
http://www.sudoc.fr/252657071/id,catalogued_year_in_window,2020,2020,"Early Modern Cultural Studies  / editorial board; Stephen J. Campbell, Brian Cummings, Natalie Zemon Davis, ... [et 12 al.] / Turnhout : Brepols , 2020-",Natalie Zemon Davis,http://www.idref.fr/026814102/id pbd,Culture
http://www.sudoc.fr/25326510X/id,catalogued_year_in_window,2020,2020,"Saints and sanctity in Judaism, Christianity, and Islam  : striving for remembrance  / edited by Alexandre Coello de la Rosa and Linda G. Jones / Abingdon, Oxon : Routledge, an imprint of the Taylor & Francis Group , 2020",Linda Gale Jones,http://www.idref.fr/174631510/id edt,Christianisme; Islam; Judaïsme
http://www.sudoc.fr/253403375/id,catalogued_year_in_window,2020,2020,"Histoire des féminismes français  / Jean Rabaut / Paris : Cairn , 2020",Jean Rabaut,http://www.idref.fr/027086917/id aut,Féminisme; Femmes
http://www.sudoc.fr/253968003/id,catalogued_year_in_window,2020,2020,"Saints and sanctity in Judaism, Christianity, and Islam  : striving for remembrance  / edited by Alexandre Coello de la Rosa and Linda G. Jones / Abingdon : Routledge , 2020",Linda Gale Jones,http://www.idref.fr/174631510/id pbd,Christianisme; Islam; Judaïsme
http://www.sudoc.fr/254082165/id,catalogued_year_in_window,2020,2020,"Propaganda and (un)covered identities in treatises and sermons  : Christians, Jews, and Muslims in the premodern Mediterranean  / Cándida Ferrero Hernández, Linda G. Jones (eds.) / Bellaterra : Universitat Autònoma de Barcelona, Servei de Publicacions , 2020",Linda Gale Jones,http://www.idref.fr/174631510/id pbd,Christianisme -- Relations -- Islam; Islam -- Relations -- Judaïsme; Histoire religieuse; Christianisme -- Relations -- Judaïsme
http://www.sudoc.fr/254200230/id,catalogued_year_in_window,2020,2020,"Polygamous ways of life past and present in Africa and Europe  = = Polygame Lebensweisen in Vergangenheit und Gegenwart in Afrika und Europa :   / herausgegeben von/edited by Henry Kam Kah, Bea Lundt / Wien : Lit , 2020",Bea Lundt,http://www.idref.fr/033208719/id pbd,Polygamie
http://www.sudoc.fr/254403468/id,catalogued_year_in_window,2020,2020,"A cultural history of peace  Volume 5, In the age of Empire  / general editor, Ronald Edsforth  / edited by Ingrid Sharp / London [etc.] : Bloomsbury Academic , 2020",Ingrid Sharp,http://www.idref.fr/112933602/id pbd,Paix
http://www.sudoc.fr/254823750/id,catalogued_year_in_window,2020,2020,"Les Amazones  : quand les femmes étaient les égales des hommes, VIIIe siècle av. J.-C.-Ier siècle apr. J.-C.  / Adrienne Mayor  ; traduit de l'anglais (États-Unis) par Philippe Pignarre  ; préface de Violaine Sebillotte Cuchet / Paris : La Découverte , 2020",Violaine Sebillotte-Cuchet,http://www.idref.fr/108540952/id aui,Femmes -- Dans l'art; Amazones; Femmes; Guerriers; Guerrières
